student_ID,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,School
35,male,group E,associate's degree,standard,completed,single,sometimes,no,NA,school_bus,5 to 10,81,81,79,1
36,female,group D,associate's degree,standard,none,married,regularly,no,2,private,5 to 10,76,82,85,1
37,female,group D,some high school,free/reduced,none,married,regularly,yes,1,private,5 to 10,51,64,60,1
38,female,group D,associate's degree,free/reduced,completed,married,regularly,no,1,school_bus,5 to 10,77,91,90,1
39,male,group B,associate's degree,free/reduced,none,single,regularly,yes,5,school_bus,5 to 10,58,56,58,1
40,male,group C,associate's degree,free/reduced,none,married,never,yes,0,school_bus,5 to 10,53,60,52,1
41,female,group C,associate's degree,standard,none,divorced,regularly,no,1,NA,5 to 10,59,74,69,1
43,male,group B,some college,free/reduced,NA,married,regularly,yes,3,school_bus,5 to 10,60,65,67,1
44,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5,school_bus,< 5,48,55,52,1
45,male,group B,associate's degree,standard,none,single,sometimes,yes,3,school_bus,< 5,63,53,55,1
47,female,group C,high school,standard,none,married,regularly,yes,NA,private,5 to 10,67,72,77,1
49,male,group C,high school,standard,completed,married,sometimes,NA,3,NA,5 to 10,82,84,82,1
50,male,group E,some college,standard,none,married,NA,no,3,school_bus,> 10,54,55,48,1
51,male,NA,associate's degree,free/reduced,completed,married,regularly,no,2,private,< 5,76,68,68,1
52,male,group C,some college,standard,none,divorced,regularly,yes,3,school_bus,> 10,56,45,43,1
53,male,group D,high school,standard,none,single,sometimes,yes,2,school_bus,5 to 10,88,78,75,1
54,female,NA,some high school,free/reduced,completed,married,regularly,yes,NA,private,> 10,75,86,90,1
55,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,private,5 to 10,33,41,43,1
56,female,group E,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,> 10,84,86,87,1
57,male,group D,associate's degree,standard,none,single,sometimes,no,2,private,5 to 10,52,55,49,1
58,male,group D,NA,standard,completed,married,regularly,no,1,private,> 10,61,60,60,1
59,female,group C,some high school,free/reduced,none,single,regularly,yes,3,school_bus,> 10,0,17,10,1
61,male,group A,some high school,free/reduced,none,married,sometimes,yes,NA,school_bus,5 to 10,39,39,34,1
62,male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5,private,5 to 10,62,61,55,1
64,female,group D,some high school,standard,none,married,sometimes,yes,0,school_bus,5 to 10,59,58,59,1
65,male,group B,some high school,standard,none,married,never,yes,1,private,< 5,63,62,58,1
66,male,group D,some high school,free/reduced,none,married,sometimes,yes,4,school_bus,5 to 10,45,37,37,1
67,female,group C,some college,standard,none,married,regularly,no,3,school_bus,5 to 10,61,73,75,1
68,male,group B,associate's degree,free/reduced,none,divorced,regularly,no,3,school_bus,NA,62,58,57,1
69,female,group C,associate's degree,standard,none,single,sometimes,yes,3,school_bus,5 to 10,39,64,57,1
71,male,group D,some college,standard,completed,divorced,sometimes,yes,3,private,> 10,64,55,64,1
72,female,group A,associate's degree,free/reduced,none,single,regularly,yes,1,private,5 to 10,42,51,49,1
73,male,group C,some high school,free/reduced,none,divorced,never,yes,3,school_bus,5 to 10,59,56,54,1
74,male,group C,some high school,standard,NA,married,sometimes,yes,2,private,< 5,47,48,40,1
75,male,group B,associate's degree,free/reduced,none,divorced,sometimes,no,NA,school_bus,5 to 10,44,41,38,1
76,male,group E,some high school,standard,none,NA,sometimes,no,5,school_bus,5 to 10,28,25,21,1
77,male,group A,NA,standard,completed,NA,regularly,yes,NA,NA,5 to 10,82,79,83,1
78,female,group D,some high school,standard,completed,divorced,sometimes,yes,2,school_bus,> 10,62,75,73,1
79,female,group E,master's degree,standard,none,divorced,never,yes,1,school_bus,5 to 10,60,68,68,1
80,female,group B,associate's degree,standard,none,married,regularly,yes,0,private,> 10,49,50,52,1
81,male,group B,high school,free/reduced,none,married,sometimes,yes,0,private,NA,49,45,45,1
82,male,group A,some college,free/reduced,completed,married,sometimes,no,NA,school_bus,5 to 10,50,47,54,1
83,male,group E,associate's degree,standard,none,married,regularly,yes,0,private,5 to 10,74,64,64,1
84,male,group D,high school,free/reduced,none,married,never,NA,3,private,5 to 10,40,38,33,1
85,female,group C,some college,standard,none,divorced,sometimes,yes,0,private,5 to 10,73,80,82,1
86,female,group C,some college,free/reduced,none,married,sometimes,yes,NA,school_bus,< 5,73,81,86,1
87,female,group D,associate's degree,standard,none,single,sometimes,yes,0,private,5 to 10,71,71,74,1
88,female,group A,some college,standard,none,divorced,regularly,yes,3,school_bus,< 5,57,69,67,1
89,female,group D,some high school,standard,none,single,sometimes,yes,NA,private,> 10,75,87,83,1
91,male,group C,high school,free/reduced,none,divorced,regularly,no,4,NA,5 to 10,27,34,36,1
92,male,group C,high school,standard,none,divorced,sometimes,no,1,NA,< 5,68,77,69,1
93,male,group C,associate's degree,free/reduced,completed,married,regularly,no,3,private,> 10,45,46,52,1
94,female,group B,some college,standard,none,married,regularly,yes,4,private,5 to 10,81,87,94,1
96,male,group B,some high school,standard,completed,married,regularly,yes,5,school_bus,5 to 10,63,65,61,1
97,female,NA,some college,standard,completed,married,never,yes,0,school_bus,< 5,59,69,66,1
98,female,group D,some college,free/reduced,none,single,regularly,yes,2,NA,> 10,61,69,64,1
99,female,group D,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,64,66,62,1
100,male,group B,some college,standard,none,married,sometimes,no,7,school_bus,5 to 10,79,67,67,1
101,male,group D,bachelor's degree,standard,completed,single,sometimes,no,1,private,5 to 10,68,74,74,1
102,female,group D,associate's degree,standard,none,married,regularly,yes,3,school_bus,5 to 10,87,92,91,1
103,male,group B,high school,standard,completed,married,regularly,no,3,school_bus,5 to 10,61,44,48,1
104,male,NA,some college,standard,completed,married,regularly,yes,1,school_bus,> 10,100,88,94,1
105,female,group C,some college,standard,none,married,sometimes,yes,0,school_bus,5 to 10,58,67,72,1
106,female,group D,master's degree,standard,none,married,sometimes,no,3,private,5 to 10,87,100,100,1
107,male,group E,NA,standard,completed,single,sometimes,yes,0,school_bus,5 to 10,66,63,64,1
108,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2,school_bus,5 to 10,52,76,70,1
109,female,group B,some high school,standard,none,single,regularly,no,3,school_bus,5 to 10,72,64,73,1
110,female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4,school_bus,> 10,79,90,99,1
111,male,group C,high school,standard,none,single,regularly,no,6,NA,5 to 10,63,55,50,1
112,male,group A,associate's degree,standard,none,married,sometimes,yes,0,school_bus,5 to 10,54,53,47,1
113,female,group D,some college,standard,none,married,never,yes,1,school_bus,< 5,47,56,51,1
114,female,group E,bachelor's degree,standard,completed,married,regularly,yes,3,school_bus,< 5,98,99,100,1
115,male,group C,high school,standard,none,married,sometimes,yes,4,private,5 to 10,84,77,74,1
116,female,group B,bachelor's degree,free/reduced,none,single,never,no,1,school_bus,5 to 10,72,83,79,1
117,female,group D,bachelor's degree,standard,none,married,never,no,2,private,5 to 10,75,80,77,1
118,female,group D,some high school,standard,none,single,regularly,yes,0,private,> 10,54,64,63,1
119,female,group C,some college,standard,none,divorced,sometimes,no,3,school_bus,5 to 10,55,69,65,1
120,female,group C,bachelor's degree,standard,completed,married,never,yes,1,school_bus,5 to 10,76,90,86,1
121,male,group B,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,< 5,88,87,90,1
122,female,group C,some college,standard,completed,single,regularly,yes,1,NA,5 to 10,90,94,95,1
123,male,group D,high school,free/reduced,none,married,sometimes,no,3,private,NA,63,57,56,1
124,male,group E,some college,standard,none,single,regularly,no,3,school_bus,< 5,82,79,73,1
125,female,group B,high school,standard,none,single,never,yes,2,school_bus,> 10,86,94,85,1
126,male,group B,NA,standard,none,married,NA,no,3,private,5 to 10,72,68,67,1
127,male,group D,some college,standard,NA,married,regularly,no,3,school_bus,< 5,64,76,74,1
128,male,group D,master's degree,standard,none,single,never,yes,2,private,< 5,77,81,72,1
129,female,group A,bachelor's degree,standard,none,NA,regularly,yes,0,school_bus,5 to 10,52,49,52,1
130,male,group D,master's degree,standard,none,single,sometimes,no,1,school_bus,< 5,87,84,82,1
131,male,group C,some high school,free/reduced,completed,single,regularly,yes,1,private,< 5,52,36,40,1
132,male,NA,some college,free/reduced,completed,married,regularly,yes,2,school_bus,5 to 10,89,75,71,1
133,female,NA,some college,standard,completed,married,never,no,6,NA,< 5,70,78,80,1
134,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1,private,> 10,76,80,76,1
135,male,group C,bachelor's degree,standard,none,married,sometimes,yes,1,NA,< 5,56,54,47,1
136,male,group B,some high school,standard,completed,divorced,sometimes,yes,1,private,5 to 10,51,54,41,1
137,male,group E,high school,standard,none,divorced,sometimes,yes,0,school_bus,< 5,67,54,54,1
138,female,group C,associate's degree,standard,NA,married,sometimes,yes,1,private,5 to 10,59,66,67,1
139,male,group D,some college,standard,completed,married,sometimes,yes,0,private,> 10,73,61,70,1
140,female,group D,some high school,standard,none,married,sometimes,no,1,school_bus,5 to 10,76,72,71,1
141,female,group C,some college,free/reduced,none,married,regularly,no,2,private,5 to 10,60,62,65,1
142,female,group E,some college,free/reduced,completed,single,regularly,NA,1,private,< 5,41,54,54,1
143,male,group A,high school,standard,none,single,sometimes,no,1,school_bus,5 to 10,57,43,47,1
144,male,group D,some college,standard,none,divorced,sometimes,yes,3,private,> 10,90,74,79,1
145,female,group C,some college,free/reduced,none,single,regularly,yes,1,school_bus,< 5,21,38,33,1
148,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1,private,< 5,65,73,79,1
149,male,group E,associate's degree,free/reduced,completed,married,regularly,no,3,private,5 to 10,100,100,95,1
150,male,group A,some high school,standard,completed,married,sometimes,no,2,private,5 to 10,62,67,69,1
152,female,group B,associate's degree,standard,completed,single,sometimes,yes,2,school_bus,< 5,57,68,64,1
153,male,group D,bachelor's degree,standard,none,married,sometimes,no,1,NA,5 to 10,54,49,47,1
154,male,group D,some high school,standard,none,single,never,no,2,NA,< 5,58,65,58,1
155,female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,< 5,69,88,88,1
156,female,group E,high school,free/reduced,completed,married,regularly,yes,1,school_bus,5 to 10,67,75,79,1
157,male,group B,NA,free/reduced,none,NA,sometimes,yes,2,school_bus,< 5,58,59,58,1
158,female,group B,associate's degree,standard,NA,divorced,regularly,yes,2,private,5 to 10,62,87,89,1
159,male,group D,associate's degree,free/reduced,none,married,regularly,no,3,school_bus,> 10,70,63,66,1
160,male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,5 to 10,82,78,74,1
161,female,group E,some college,free/reduced,completed,married,sometimes,yes,3,school_bus,5 to 10,75,88,85,1
162,male,group B,master's degree,free/reduced,none,single,never,no,2,school_bus,5 to 10,48,53,52,1
163,male,group C,high school,standard,none,divorced,sometimes,yes,1,school_bus,5 to 10,52,53,49,1
164,female,group E,master's degree,standard,none,married,never,yes,3,private,< 5,76,89,86,1
165,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0,school_bus,5 to 10,96,100,100,1
166,male,group C,high school,free/reduced,completed,single,sometimes,yes,5,private,5 to 10,53,51,51,1
167,female,group B,master's degree,free/reduced,completed,married,regularly,no,1,private,> 10,62,79,83,1
168,female,group B,high school,standard,completed,married,regularly,yes,2,private,5 to 10,70,84,79,1
170,male,group A,high school,standard,completed,divorced,regularly,yes,5,school_bus,> 10,76,75,77,1
171,male,group E,some high school,standard,none,married,sometimes,no,3,school_bus,< 5,91,86,76,1
172,female,group D,some college,standard,none,single,never,yes,3,school_bus,5 to 10,76,84,78,1
173,female,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,5 to 10,63,67,70,1
174,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1,school_bus,< 5,41,50,52,1
175,female,group C,master's degree,standard,completed,divorced,sometimes,yes,1,school_bus,5 to 10,81,92,89,1
176,female,group B,high school,free/reduced,completed,married,sometimes,no,2,school_bus,< 5,44,53,56,1
177,female,group C,associate's degree,standard,completed,married,regularly,yes,NA,school_bus,< 5,70,76,77,1
178,female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,2,school_bus,5 to 10,54,72,65,1
179,female,group D,some high school,standard,completed,divorced,regularly,yes,0,school_bus,5 to 10,99,100,100,1
180,male,group C,master's degree,free/reduced,completed,single,sometimes,yes,2,private,< 5,60,68,75,1
181,female,group C,some college,free/reduced,none,single,sometimes,yes,1,private,5 to 10,46,64,66,1
182,female,group E,high school,standard,none,married,sometimes,yes,3,private,NA,50,50,47,1
183,female,group D,associate's degree,standard,none,single,sometimes,no,NA,private,< 5,63,67,68,1
185,male,group C,associate's degree,free/reduced,completed,married,never,yes,5,private,< 5,61,65,62,1
186,male,group E,high school,standard,none,married,never,yes,1,school_bus,< 5,75,73,62,1
187,male,group D,some high school,standard,completed,married,sometimes,no,4,private,5 to 10,62,66,68,1
188,male,group B,some high school,free/reduced,none,married,regularly,no,3,school_bus,< 5,47,51,45,1
189,female,group C,bachelor's degree,standard,none,single,sometimes,yes,1,school_bus,< 5,74,86,85,1
190,female,group E,associate's degree,standard,none,married,sometimes,yes,2,school_bus,5 to 10,66,65,69,1
191,male,group D,some college,standard,completed,married,sometimes,no,2,school_bus,< 5,73,81,77,1
192,female,group B,some high school,standard,none,single,sometimes,no,3,private,NA,62,64,66,1
193,male,group D,some college,standard,completed,married,regularly,yes,4,NA,NA,79,62,63,1
194,female,group C,master's degree,standard,completed,NA,regularly,yes,1,school_bus,< 5,69,85,87,1
195,male,group D,associate's degree,standard,none,married,regularly,no,4,school_bus,< 5,60,54,52,1
196,male,group C,NA,free/reduced,completed,married,never,yes,1,school_bus,5 to 10,57,67,63,1
197,male,group E,high school,free/reduced,none,married,NA,no,7,private,> 10,56,56,52,1
198,female,group B,some college,free/reduced,none,widowed,regularly,yes,3,NA,> 10,47,54,57,1
199,female,group B,bachelor's degree,free/reduced,NA,married,regularly,yes,3,private,5 to 10,80,80,77,1
200,female,group C,associate's degree,standard,completed,single,regularly,no,1,private,< 5,66,83,86,1
201,female,group D,some college,free/reduced,none,divorced,sometimes,yes,3,school_bus,< 5,63,79,75,1
202,male,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,5 to 10,69,77,69,1
203,female,NA,associate's degree,standard,none,NA,regularly,yes,2,school_bus,5 to 10,58,70,69,1
204,male,group C,some college,standard,none,single,regularly,yes,1,NA,< 5,58,40,42,1
205,male,group D,some high school,standard,completed,married,NA,yes,NA,school_bus,< 5,71,69,76,1
206,male,group E,bachelor's degree,standard,none,married,regularly,yes,4,school_bus,5 to 10,84,62,63,1
207,male,group E,high school,standard,completed,married,regularly,no,2,school_bus,5 to 10,83,81,77,1
208,female,group B,some college,free/reduced,none,married,regularly,yes,1,private,< 5,73,80,76,1
209,female,group B,some college,free/reduced,NA,single,sometimes,no,2,NA,NA,58,61,66,1
210,male,group D,some high school,free/reduced,completed,widowed,sometimes,yes,3,school_bus,< 5,77,77,77,1
211,male,group C,some college,free/reduced,NA,married,sometimes,yes,3,school_bus,5 to 10,35,28,27,1
212,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,school_bus,5 to 10,42,62,60,1
213,male,group C,associate's degree,free/reduced,completed,single,regularly,no,1,school_bus,5 to 10,61,51,57,1
214,male,group E,high school,standard,NA,married,sometimes,yes,1,private,5 to 10,87,91,81,1
215,male,group B,some high school,standard,completed,NA,regularly,no,2,private,5 to 10,86,84,76,1
216,female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3,school_bus,< 5,80,84,86,1
217,female,group C,high school,free/reduced,NA,married,regularly,no,3,NA,< 5,33,41,39,1
218,male,group B,high school,free/reduced,none,married,sometimes,no,2,school_bus,< 5,64,75,68,1
219,male,group B,some high school,standard,completed,single,never,no,1,NA,5 to 10,59,55,54,1
220,female,group D,high school,standard,completed,widowed,regularly,yes,4,school_bus,5 to 10,57,69,75,1
221,male,group B,associate's degree,standard,none,married,sometimes,yes,0,school_bus,> 10,89,86,74,1
222,female,group C,some high school,free/reduced,NA,divorced,sometimes,no,3,NA,5 to 10,55,65,62,1
223,male,group D,some high school,standard,none,married,regularly,no,3,school_bus,5 to 10,88,81,76,1
224,female,group B,associate's degree,standard,completed,divorced,regularly,NA,3,school_bus,> 10,55,67,76,1
225,female,group E,master's degree,free/reduced,none,married,sometimes,no,NA,private,< 5,43,55,52,1
226,female,group C,some college,standard,none,married,sometimes,yes,5,school_bus,5 to 10,72,72,71,1
227,male,group D,high school,standard,none,single,regularly,yes,0,school_bus,5 to 10,58,50,55,1
228,male,group A,NA,free/reduced,none,divorced,sometimes,no,4,school_bus,5 to 10,68,72,64,1
229,female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,> 10,93,97,98,1
230,male,group D,some college,standard,none,married,regularly,yes,0,NA,5 to 10,78,64,67,1
231,male,group C,associate's degree,standard,none,married,regularly,NA,1,private,5 to 10,47,43,43,1
232,female,group B,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,5 to 10,67,86,83,1
233,male,group E,some high school,standard,none,divorced,sometimes,yes,3,school_bus,> 10,94,88,79,1
234,male,group C,bachelor's degree,standard,completed,married,sometimes,no,3,school_bus,> 10,85,83,85,1
235,male,group D,associate's degree,standard,none,married,regularly,no,1,school_bus,> 10,84,77,80,1
236,male,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,2,school_bus,< 5,62,65,67,1
237,female,group D,some high school,standard,NA,married,sometimes,yes,4,school_bus,< 5,62,59,72,1
238,male,group B,some college,standard,none,married,regularly,yes,2,private,> 10,57,53,53,1
239,male,group C,associate's degree,standard,none,NA,sometimes,yes,1,private,5 to 10,84,80,80,1
240,male,group D,high school,free/reduced,completed,divorced,NA,yes,1,private,> 10,75,69,67,1
241,female,group E,bachelor's degree,standard,none,single,regularly,no,4,private,5 to 10,82,84,85,1
243,male,group E,some college,standard,NA,single,regularly,no,2,school_bus,< 5,58,50,43,1
244,male,group D,some high school,standard,none,divorced,regularly,yes,1,school_bus,< 5,74,73,69,1
245,male,group C,associate's degree,standard,none,married,sometimes,no,3,private,< 5,82,74,69,1
246,male,group E,associate's degree,standard,NA,married,regularly,no,2,school_bus,5 to 10,91,77,75,1
247,female,group B,high school,standard,completed,single,sometimes,yes,1,private,5 to 10,58,70,68,1
248,female,group B,high school,standard,none,married,sometimes,yes,2,private,< 5,63,63,60,1
249,male,NA,high school,standard,none,married,sometimes,no,2,school_bus,> 10,70,60,54,1
250,male,group A,some high school,standard,completed,single,sometimes,yes,2,school_bus,5 to 10,47,49,49,1
251,female,group D,some college,free/reduced,none,married,regularly,NA,4,school_bus,< 5,70,82,83,1
252,female,group B,some high school,standard,completed,single,sometimes,yes,3,private,5 to 10,60,70,70,1
253,male,group D,master's degree,standard,none,married,sometimes,no,3,school_bus,NA,80,80,72,1
254,male,group D,high school,standard,none,married,sometimes,yes,0,private,5 to 10,54,52,52,1
255,female,group E,some college,standard,none,single,sometimes,no,1,school_bus,5 to 10,62,73,70,1
256,female,group C,associate's degree,free/reduced,none,single,sometimes,no,5,private,< 5,62,71,66,1
257,male,NA,associate's degree,standard,completed,married,regularly,NA,1,school_bus,5 to 10,80,78,78,1
260,female,group C,some high school,free/reduced,completed,married,sometimes,yes,1,private,> 10,65,80,78,1
261,male,group C,some college,standard,completed,married,sometimes,no,2,school_bus,5 to 10,79,79,78,1
262,female,group C,some high school,free/reduced,none,married,regularly,no,2,private,5 to 10,45,50,52,1
263,female,group E,high school,standard,none,single,sometimes,yes,1,private,5 to 10,99,93,90,1
264,male,group D,high school,standard,none,married,sometimes,no,2,private,5 to 10,76,73,68,1
265,male,group D,some high school,free/reduced,none,divorced,sometimes,no,1,school_bus,< 5,57,41,40,1
266,female,NA,bachelor's degree,standard,none,married,sometimes,no,2,school_bus,< 5,61,73,79,1
267,female,group D,high school,standard,none,married,regularly,no,3,school_bus,5 to 10,71,73,78,1
268,female,group D,associate's degree,standard,completed,married,regularly,yes,5,school_bus,> 10,93,94,99,1
269,female,group E,some college,free/reduced,none,married,sometimes,no,2,school_bus,NA,71,76,70,1
270,male,group C,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,5 to 10,69,63,61,1
271,male,group C,some college,standard,NA,single,regularly,yes,1,NA,< 5,57,48,42,1
272,female,group D,associate's degree,free/reduced,none,single,regularly,yes,2,private,5 to 10,48,53,59,1
273,female,group D,some college,standard,none,married,sometimes,no,2,private,5 to 10,65,70,71,1
274,male,group B,some college,standard,completed,widowed,NA,yes,1,school_bus,< 5,85,83,74,1
275,male,group C,bachelor's degree,standard,none,married,sometimes,no,3,school_bus,5 to 10,83,78,73,1
276,female,group C,some high school,standard,completed,married,sometimes,yes,3,private,< 5,82,90,91,1
277,female,group E,NA,standard,completed,single,sometimes,no,4,school_bus,< 5,57,62,73,1
278,female,group C,some high school,free/reduced,none,married,sometimes,yes,1,school_bus,5 to 10,65,86,80,1
279,male,group B,bachelor's degree,free/reduced,none,widowed,sometimes,no,2,school_bus,5 to 10,73,56,57,1
281,male,group D,high school,standard,none,divorced,sometimes,no,NA,private,5 to 10,45,48,46,1
282,female,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,3,school_bus,5 to 10,75,80,86,1
283,female,group D,some college,free/reduced,completed,NA,never,yes,2,school_bus,5 to 10,67,76,76,1
284,female,NA,some high school,standard,none,married,regularly,yes,0,private,< 5,36,45,46,1
285,male,group B,associate's degree,standard,completed,married,never,yes,3,school_bus,5 to 10,78,80,79,1
286,male,group E,associate's degree,standard,completed,married,regularly,yes,0,private,5 to 10,99,83,90,1
287,female,group B,some high school,standard,none,married,sometimes,no,1,school_bus,< 5,64,87,80,1
288,male,group B,bachelor's degree,free/reduced,none,single,sometimes,yes,0,NA,< 5,85,73,74,1
289,male,NA,some high school,standard,completed,married,sometimes,yes,1,school_bus,> 10,79,77,78,1
290,male,group C,associate's degree,standard,none,married,sometimes,no,2,school_bus,5 to 10,76,70,68,1
291,male,group D,some high school,standard,none,married,sometimes,yes,2,private,< 5,83,71,68,1
292,male,group C,some high school,standard,completed,married,never,yes,1,private,5 to 10,61,59,55,1
293,female,group E,bachelor's degree,standard,none,married,sometimes,yes,NA,school_bus,> 10,66,74,76,1
294,male,group D,high school,free/reduced,completed,single,regularly,yes,3,school_bus,5 to 10,80,78,82,1
295,male,group B,associate's degree,free/reduced,none,married,never,yes,1,school_bus,> 10,66,61,59,1
296,male,NA,some high school,standard,completed,widowed,regularly,no,2,school_bus,5 to 10,47,41,44,1
297,male,NA,associate's degree,standard,completed,single,regularly,no,1,school_bus,5 to 10,73,75,69,1
298,male,group C,NA,free/reduced,completed,single,regularly,no,2,private,< 5,39,45,50,1
299,male,group D,associate's degree,free/reduced,none,married,regularly,no,2,NA,< 5,89,86,75,1
300,male,group A,some college,free/reduced,completed,married,never,yes,2,private,< 5,76,75,77,1
301,male,group D,some high school,free/reduced,NA,divorced,regularly,no,4,school_bus,< 5,55,53,52,1
302,female,group C,associate's degree,standard,completed,single,never,yes,5,school_bus,> 10,66,83,80,1
303,male,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,5 to 10,82,77,65,1
304,female,group C,associate's degree,standard,completed,married,regularly,yes,2,school_bus,5 to 10,76,76,85,1
305,male,group A,some college,standard,none,NA,sometimes,yes,7,private,5 to 10,69,67,69,1
306,male,group E,some college,standard,completed,divorced,regularly,yes,5,private,5 to 10,100,88,83,1
307,male,group C,some high school,standard,none,single,regularly,no,2,NA,5 to 10,52,52,45,1
308,female,group B,associate's degree,free/reduced,none,married,regularly,no,3,private,> 10,56,73,70,1
309,female,group D,high school,free/reduced,NA,single,regularly,yes,5,NA,< 5,48,56,52,1
310,female,group B,associate's degree,standard,none,married,sometimes,no,2,school_bus,5 to 10,73,76,80,1
311,male,group B,bachelor's degree,standard,none,married,never,yes,3,school_bus,< 5,62,58,54,1
312,male,group D,bachelor's degree,standard,completed,single,sometimes,yes,0,private,NA,67,61,68,1
313,female,group C,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,> 10,70,68,70,1
315,male,group C,high school,standard,none,married,regularly,no,3,private,5 to 10,73,66,66,1
316,female,group D,master's degree,standard,completed,widowed,never,yes,3,private,5 to 10,74,80,88,1
317,male,group C,associate's degree,standard,none,single,sometimes,no,1,school_bus,5 to 10,83,72,78,1
